pipeline,pro_acc,pro_count,flash_acc,flash_count,last_run_timestamp
Baseline (Zero-shot),0.6428571428571429,1.0,0.3285714285714285,1.0,2025-12-02 21:42:00
Dense RAG,0.8478260869565217,1.0,0.8285714285714286,1.0,2025-12-02 21:42:00
BM25 RAG,0.9064748201438849,1.0,0.8714285714285714,1.0,2025-12-02 21:42:00
Hybrid RAG,0.9571428571428572,1.0,0.8714285714285714,1.0,2025-12-02 21:42:00
